area,height,quality,distance
14.632136628475507,3.451773711934309,2,46.16
7.430438277850633,3.4229085541110518,0,46.16
17.965533355088635,3.2270514442896343,2,46.16
13.842802945035805,3.4477607494889284,2,46.16
4.761836149201312,3.428018815546482,0,46.16
17.585941567945106,3.238195205366902,2,46.16
13.728023548954878,3.450698585252147,2,46.16
0,0,0,46.16
17.9066056567942,3.227665935479312,2,46.16
13.205816719238465,3.4502069500799446,2,46.16
0,0,0,46.16
18.309110463159055,3.247105375062558,2,46.16
13.565962283863549,3.458418605439083,2,46.16
0,0,0,46.16
17.46057708182418,3.221025752661315,2,46.16
12.737735239982488,3.4474853437427124,3,46.16
0,0,0,46.16
17.393504679291137,3.218562447093675,2,46.16
13.425580542046825,3.4618184218201282,2,46.16
0,0,0,46.16
17.538207916091253,3.2242452620700424,2,46.16
12.559024799386364,3.4444351332451983,3,46.16
0,0,0,46.16
17.511538405469505,3.2168262980784483,2,46.16
12.87919829840791,3.4616958951902705,2,46.16
0,0,0,46.16
16.905528193666903,3.2304207487608743,2,46.16
11.914236988067547,3.457983499021582,3,46.16
0,0,0,46.16
17.57741510652713,3.227630010786309,2,46.16
13.117829963268548,3.4600682571937895,2,46.16
0,0,0,46.16
17.65018431569307,3.230893785847015,2,46.16
13.289458283534675,3.441335032652523,2,46.16
0,0,0,46.16
17.658947107050455,3.226738048329363,2,46.16
13.697213832312537,3.4505336673861504,2,46.16
0,0,0,46.16
16.76212714469206,3.2328804912995714,2,46.16
13.473874890295514,3.437957512699723,2,46.16
0,0,0,46.16
17.51593165826854,3.232374188293582,2,46.16
12.650937214736928,3.4406474966270038,3,46.16
0,0,0,46.16
17.666897086408508,3.2182337928892544,2,46.16
12.881252204060969,3.4494542338347607,2,46.16
0,0,0,46.16
17.348007092112276,3.223310587203929,2,46.16
12.945584747245807,3.4447889231135966,2,46.16
0,0,0,46.16
17.336493420170868,3.2172511213160044,2,46.16
13.28527662439706,3.4619771489362003,2,46.16
0,0,0,46.16
17.80727573840842,3.2270397793510166,2,46.16
12.920208778671343,3.4497171188603075,2,46.16
0,0,0,46.16
16.406920396922686,3.2047745405177412,2,46.16
12.55732961766498,3.44734718818765,3,46.16
0,0,0,46.16
16.44697771827341,3.2146480721092434,2,46.16
12.578366576169364,3.4596006918555267,3,46.16
0,0,0,46.16
17.112006049281565,3.213757491304556,2,46.16
12.952775954756897,3.453846370327909,2,46.16
0,0,0,46.16
17.300576896489236,3.241689738561172,2,46.16
13.148387728305336,3.4589429370106077,2,46.16
0,0,0,46.16
17.32791145510807,3.2199966949399945,2,46.16
12.544058879332994,3.4107778877898918,3,46.16
0,0,0,46.16
17.875628726285733,3.2284408523216954,2,46.16
12.964022035681856,3.447962595476055,2,46.16
0,0,0,46.16
17.43299640633045,3.243815441317782,2,46.16
13.436179909383437,3.456892366931973,2,46.16
0,0,0,46.16
17.423893350036717,3.228886744853575,2,46.16
13.344820609240184,3.4457431118644104,2,46.16
0,0,0,46.16
17.50254641299354,3.205409917655816,2,46.16
13.026053050332637,3.4562933630888186,2,46.16
0,0,0,46.16
17.537347796912975,3.2224711576858125,2,46.16
13.167620640163177,3.4437742360023433,2,46.16
0,0,0,46.16
17.56696417816273,3.2517452178648116,2,46.16
13.223761006459926,3.444440805871736,2,46.16
0,0,0,46.16
17.39365975738074,3.220311014242394,2,46.16
12.977830798190977,3.4507620526657026,2,46.16
0,0,0,46.16
17.34883247342436,3.216126985721154,2,46.16
13.06458417903398,3.454630074262081,2,46.16
0,0,0,46.16
17.4320066985082,3.2086624207446013,2,46.16
13.364090246177813,3.4516547392527652,2,46.16
0,0,0,46.16
16.704417266993904,3.2219545660074704,2,46.16
12.898767639119555,3.4439169367041056,2,46.16
0,0,0,46.16
16.95239907241955,3.228383305435708,2,46.16
12.863308579582782,3.438562422489298,2,46.16
0,0,0,46.16
17.188821595224187,3.223201970937575,2,46.16
13.438652931378762,3.4406948280209844,2,46.16
0,0,0,46.16
17.21013615199479,3.217185291446802,2,46.16
12.99697901616643,3.4366740543008225,2,46.16
0,0,0,46.16
17.404401899464144,3.202835684838474,2,46.16
13.201653085290936,3.4558949700722557,2,46.16
0,0,0,46.16
17.582692754258705,3.223110218029755,2,46.16
12.767633699413523,3.3997623399840995,3,46.16
0,0,0,46.16
17.52933315858582,3.2100198548603873,2,46.16
13.62509029050639,3.4593539435337273,2,46.16
0,0,0,46.16
16.883568144995863,3.2139706416904232,2,46.16
12.157551798354543,3.4487124910470914,3,46.16
0,0,0,46.16
17.105422199947228,3.2078003808383753,2,46.16
13.327417960342466,3.462075973558036,2,46.16
0,0,0,46.16
17.396037542510918,3.2029759639868365,2,46.16
13.844680462304863,3.445586431377817,2,46.16
0,0,0,46.16
17.161103937335746,3.212514398554109,2,46.16
